"V8"	"V9"	"T2_3"	"UCLA_1_1"	"UCLA_1_2"	"UCLA_1_3"	"UCLA_1_4"	"UCLA_1_5"	"UCLA_1_6"	"UCLA_1_7"	"UCLA_1_8"	"UCLA_1_9"	"UCLA_1_10"	"T3_3"	"UCLA_2_1"	"UCLA_2_2"	"UCLA_2_3"	"UCLA_2_4"	"UCLA_2_5"	"UCLA_2_6"	"UCLA_2_7"	"UCLA_2_8"	"UCLA_2_9"	"UCLA_2_10"	"T4_3"	"SLWS_1"	"SLWS_2"	"SLWS_3"	"SLWS_4"	"SLWS_5"	"T5_3"	"SE_1_1"	"SE_1_2"	"SE_1_3"	"SE_1_4"	"SE_1_5"	"SE_1_6"	"SE_1_7"	"SE_1_8"	"SE_1_9"	"SE_1_10"	"SE_2_1"	"SE_2_2"	"SE_2_3"	"SE_2_4"	"SE_2_5"	"SE_2_6"	"SE_2_7"	"SE_2_8"	"SE_2_9"	"SE_2_10"	"T6_3"	"Mood_1"	"Mood_2"	"Mood_3"	"Mood_4"	"Mood_5"	"Mood_6"	"Mood_7"	"Mood_8"	"Mood_9"	"Mood_10"	"Mood_11"	"Mood_12"	"Mood_13"	"Mood_14"	"Mood_15"	"Mood_16"	"T7_3"	"Disc_1"	"Disc_2"	"Disc_3"	"Disc_4"	"T8_3"	"Disc_5"	"Disc_6"	"Disc_7"	"Disc_8"	"Disc_9"	"T9_3"	"DiscR_1"	"DiscR_2"	"DiscR_3"	"DiscR_4"	"T10_3"	"DiscR_5"	"DiscR_6"	"DiscR_7"	"DiscR_8"	"DiscR_9"	"T11_3"	"EIS_1"	"EIS_2"	"EIS_3"	"EIS_4"	"EIS_5"	"EIS_6"	"T12_3"	"Well_B_1"	"Well_B_2"	"Well_B_3"	"Well_B_4"	"Well_B_5"	"Well_B_6"	"Well_B_7"	"Well_B_8"	"Well_B_9"	"Well_B_10"	"T13_3"	"Rau_1"	"Rem_2"	"Rsa_6"	"Rau_7"	"Rem_8"	"Rsa_12"	"Rau_13"	"Rem_14"	"Rsa_18"	"Rau_19"	"Rem_20"	"Rsa_24"	"Rau_25"	"Rem_26"	"Rsa_30"	"Rau_31"	"Rem_32"	"Rsa_36"	"Rau_37"	"Rem_38"	"Rsa_42"	"T14_3"	"Sex"	"Age"	"Ethn_1"	"Ethn_2"	"Ethn_3"	"Ethn_4"	"Ethn_5"	"Ethn_6"	"Ethn_7"	"Ethn_7_TEXT"	"Cntry_Orig"	"Prim_Lang"	"Pol_Ori"	"T15_3"	"Interr"	"Distr"	"Privacy"	"Scrn_Size"	"T16_3"	"Debr"	"T17_3"	"end"	"T18_3"	"Subject"	"UCLA_1_2.rev"	"UCLA_1_3.rev"	"UCLA_1_4.rev"	"UCLA_1_7.rev"	"UCLA_1_8.rev"	"UCLA_2_1.rev"	"UCLA_2_2.rev"	"UCLA_2_3.rev"	"UCLA_2_4.rev"	"UCLA_2_7.rev"	"UCLA_2_8.rev"	"UCLA_total"	"UCLA_sub"	"SWLS_total"	"SE_total"	"SE_perf"	"SE_social"	"SE_appear"	"Mood_total"	"PD_general"	"PD_race"	"EIS_1.rev"	"EIS_2.rev"	"EIS_3.rev"	"EIS_6.rev"	"EI_total"	"WellB_total"	"WellB_PA"	"WellB_NA"	"WellR_total"	"WellR_auto"	"WellR_envir"	"WellR_accept"
"12/19/15"	"12/19/15"	1.749	3	3	2	3	3	2	2	2	3	3	8.014	3	2	2	3	2	2	3	3	2	2	7.199	6	3	5	5	6	6.798	4	2	2	4	3	2	3	4	4	2	2	3	4	4	3	2	3	3	4	4	6.656	2	3	4	4	2	2	3	3	4	4	2	2	4	4	4	4	10.481	5	4	5	4	7.357	2	4	5	4	5	6.702	5	4	3	5	5.592	5	3	3	5	3	5.904	7	4	6	6	7	4	22.109	1	2	2	1	1	2	2	2	1	1	7.625	5	3	3	3	3	5	3	3	3	3	5	3	3	5	4	5	3	3	5	4	5	7.021	1	25	1	1	1	NA	NA	NA	NA	" "	"USA"	"English"	2	144.183	1	1	1	1	7.168	1	1.984	1	6.499	103	2	3	2	3	3	2	3	3	2	2	2	2.45	2.16666666666667	5	2.9	3.14285714285714	2.85714285714286	2.66666666666667	3.1875	38	36	3	6	4	6	5.33333333333333	1	3	2	5	5	4.85714285714286	5.14285714285714
"12/23/15"	"12/23/15"	4.019	2	1	2	1	2	2	2	2	3	3	48.67	2	2	2	1	3	2	2	2	3	3	26.727	2	2	2	5	2	9.328	3	2	2	3	2	3	1	2	4	4	2	2	2	3	2	2	2	1	3	2	27	3	3	4	3	3	3	3	3	4	3	2	3	2	4	3	3	42.309	3	3	3	2	47.416	3	3	3	3	2	15.84	2	2	2	1	26.974	2	2	2	1	1	24.205	4	4	6	5	7	5	19.459	1	1	1	2	2	1	1	1	1	2	18.726	5	2	2	4	4	2	2	3	5	3	3	2	5	5	5	3	5	5	5	2	2	16.835	1	20	1	NA	NA	NA	NA	NA	NA	" "	"United States"	"English"	8	13.785	1	1	1	1	10.157	1	2.114	1	21.044	109	4	3	4	3	3	3	3	3	4	3	3	2.95	3.33333333333333	2.6	3.45	3.57142857142857	3.71428571428571	3	3.0625	25	15	6	6	4	5	5.5	-1	3	4	4.38095238095238	5.85714285714286	4	3.28571428571429
"12/21/15"	"12/21/15"	5.733	1	4	4	4	2	2	4	4	2	2	29.727	3	4	4	4	1	1	3	4	4	1	27.657	6	6	5	6	4	13.432	5	4	5	2	1	3	1	1	5	1	5	5	3	5	1	1	4	1	1	2	24.885	2	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	18.296	1	1	1	1	9.153	2	1	2	1	1	10.109	2	1	1	1	14.655	2	1	2	1	1	9.633	7	7	7	2	1	7	21.367	1	1	1	1	1	2	2	1	2	2	14.396	1	5	5	6	1	5	2	1	4	1	5	5	5	1	1	1	1	1	6	5	5	17.857	1	25	1	NA	NA	NA	NA	NA	NA	" "	"USA"	"English"	5	16.259	1	1	1	1	8.946	1	2.256	1	7.939	115	1	1	1	1	1	2	1	1	1	2	1	1.45	1.66666666666667	5.4	4.4	4.85714285714286	3.71428571428571	4.66666666666667	1.25	11	12	3	3	3	3	2.5	4	5	1	6.23809523809524	6.28571428571429	6.14285714285714	6.28571428571429
"12/20/15"	"12/20/15"	15.739	2	3	4	3	2	2	3	2	1	1	47.199	3	3	3	3	1	1	3	3	1	1	42.405	6	6	6	6	4	11.87	4	2	4	1	1	4	2	1	5	5	4	4	2	4	1	1	2	1	1	1	30.102	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	18.882	2	2	2	2	14.734	2	2	2	2	2	12.481	2	2	2	2	14.586	2	2	2	2	2	14.93	8	5	8	3	5	5	271.452	1	1	1	1	1	2	2	1	2	2	26.475	5	5	5	5	2	5	2	3	3	2	5	5	5	2	1	2	2	2	6	5	5	49.48	1	51	1	NA	NA	NA	NA	NA	NA	" "	"US"	"English"	9	30.706	1	1	1	2	14.742	1	2.579	1	16.943	127	2	1	2	2	3	2	2	2	2	2	2	1.7	1.5	5.6	4.3	4.71428571428571	4	4.16666666666667	1.0625	18	18	2	5	2	5	3.66666666666667	4	5	1	6.14285714285714	6.42857142857143	5.71428571428571	6.28571428571429
"12/19/15"	"12/19/15"	6.14	2	2	2	2	2	2	2	2	2	2	16.142	2	2	2	2	2	2	2	2	2	2	12.575	7	7	7	7	7	14.457	4	4	3	1	1	3	1	4	4	1	4	4	3	4	1	1	4	1	1	1	32.064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	19.461	1	6	3	1	31.589	1	1	1	1	1	14.829	1	1	3	1	15.861	1	1	1	1	1	14.07	1	1	1	1	1	1	15.988	1	2	1	1	1	2	2	2	2	2	45.85	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	12.892	2	25	1	NA	NA	NA	NA	NA	NA	" "	"new ork"	"english"	9	31.504	1	1	1	1	17.222	1	2.768	1	13.153	135	3	3	3	3	3	3	3	3	3	3	3	2.55	2.66666666666667	7	4	4.57142857142857	3.42857142857143	4	1.0625	16	11	9	9	9	9	6.33333333333333	4	4	0	5.14285714285714	5.14285714285714	5.14285714285714	5.14285714285714
"12/19/15"	"12/19/15"	3.053	3	2	1	2	3	3	2	1	3	2	12.18	3	2	3	4	3	2	3	3	2	1	9.882	5	3	5	2	4	9.028	4	2	3	3	5	2	4	3	5	5	3	2	4	3	4	5	5	3	2	4	11.55	2	4	3	3	5	2	4	3	2	4	4	3	2	4	3	4	15.539	5	4	3	4	8.12	4	3	4	3	4	8.214	4	2	4	2	8.92	4	3	4	3	4	6.587	6	6	4	6	4	6	14.391	1	2	1	1	2	2	1	2	1	1	12.692	5	3	4	3	4	4	2	5	3	4	4	3	4	3	4	4	4	3	2	4	5	15.504	1	24	1	NA	NA	NA	NA	NA	NA	" "	"USA"	"English"	3	34.791	1	1	1	2	11.812	1	2.886	1	7.878	144	3	4	3	3	4	2	3	2	1	2	2	2.55	2.5	3.8	2.55	3.28571428571429	2.14285714285714	2.16666666666667	3.25	34	30	4	4	6	4	4.66666666666667	0	3	3	4.90476190476191	4.85714285714286	4.71428571428571	5.14285714285714
"12/21/15"	"12/21/15"	3.742	2	3	2	3	4	2	2	1	3	3	39.346	2	2	3	2	1	2	2	3	2	2	43.413	2	3	3	1	1	21.568	3	4	2	3	5	4	3	3	4	4	2	2	4	3	2	2	4	3	4	2	37.318	4	3	5	4	4	5	3	4	2	5	3	5	2	5	4	2	37.056	3	3	3	2	29.905	4	4	6	2	2	22.375	2	3	1	2	17.056	2	4	5	1	2	28.697	5	6	5	3	6	8	24.118	1	1	2	2	2	2	1	1	1	2	87.398	4	4	3	2	6	3	4	3	5	2	3	3	4	1	5	2	4	6	5	4	3	46.427	1	32	1	NA	NA	NA	NA	NA	NA	" "	"USA"	"English"	6	16.379	1	1	1	1	17.093	1	2.888	1	3.347	145	2	3	2	3	4	3	3	2	3	3	2	2.55	2.33333333333333	2	2.75	2.71428571428571	2.71428571428571	2.83333333333333	3.75	29	22	5	4	5	2	4.16666666666667	-1	2	3	4.85714285714286	5.28571428571429	5.57142857142857	3.71428571428571
"12/20/15"	"12/20/15"	49.995	3	4	3	3	2	2	1	1	3	3	63.877	3	2	1	3	1	1	4	2	3	4	87.377	6	6	6	7	6	28.958	4	1	4	3	1	3	4	1	4	1	4	3	4	5	3	3	3	2	2	2	82.585	4	2	4	2	2	4	1	1	1	3	1	1	1	4	2	1	36.126	3	3	2	2	29.47	1	2	3	3	3	38.39	3	3	3	3	12.568	1	3	3	3	2	13.939	8	5	5	8	8	3	18.863	1	1	1	1	1	2	2	2	2	1	18.535	6	5	5	5	4	5	3	4	2	2	5	5	6	4	2	1	1	3	5	4	5	70.203	2	38	1	NA	NA	NA	NA	NA	NA	" "	"USA"	"English"	7	17.894	1	1	1	1	15.85	1	3.077	1	3.949	159	1	2	2	4	4	2	3	4	2	1	3	2.5	2.33333333333333	6.2	3.75	4.14285714285714	3.85714285714286	3.16666666666667	2.125	22	24	2	5	5	7	5.83333333333333	4	5	1	6.09523809523809	6.57142857142857	5.57142857142857	6.14285714285714
"12/19/15"	"12/19/15"	11.989	2	2	2	2	3	3	3	3	4	3	28.83	2	2	2	2	3	3	1	2	3	3	22.436	1	2	2	2	1	9.802	2	4	1	4	1	2	5	5	2	4	1	1	3	2	4	4	4	3	4	4	16.098	2	2	3	3	3	3	4	3	2	3	1	3	1	3	4	3	22.765	3	3	2	3	13.542	1	3	3	1	1	25.328	2	3	3	3	10.156	2	3	3	1	1	12.186	3	4	4	4	3	5	19.42	2	1	2	2	2	2	1	1	1	1	17.793	3	2	1	3	5	1	5	4	4	4	1	2	3	5	6	3	4	3	3	2	2	20.732	1	33	1	NA	NA	NA	NA	NA	NA	" "	"United States of America"	"English"	8	15.119	1	1	1	1	22.556	1	3.12	1	3.251	163	3	3	3	2	2	3	3	3	3	4	3	2.95	3	1.6	2	2.57142857142857	2	1.33333333333333	2.6875	20	21	7	6	6	5	5.16666666666667	-3	1	4	3.80952380952381	4.28571428571429	3.85714285714286	3.28571428571429
"12/23/15"	"12/23/15"	35.079	2	3	2	3	2	2	2	4	3	2	118.257	3	3	2	4	2	2	3	3	2	3	87.199	4	6	6	6	6	53.503	4	1	3	1	1	3	3	3	4	1	4	4	1	4	1	1	1	1	1	1	84.957	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	41.639	3	3	3	2	51.958	2	2	3	2	1	51.412	3	3	3	2	33.571	1	2	3	1	1	34.058	7	6	5	5	7	5	60.643	1	1	1	1	1	2	2	2	2	2	77.06	6	6	6	6	2	6	1	1	1	1	5	5	4	2	1	1	1	4	4	3	5	72.021	1	29	1	NA	NA	NA	NA	NA	NA	" "	"texas"	"english"	8	176.721	1	1	1	1	17.519	1	3.191	1	4.418	168	2	3	2	3	1	2	2	3	1	2	2	2.15	2.33333333333333	5.6	4.35	4.57142857142857	4.71428571428571	3.66666666666667	1.125	21	19	3	4	5	5	4.83333333333333	5	5	0	6.42857142857143	6.71428571428571	6	6.57142857142857
