"V8"	"V9"	"T2_3"	"UCLA_1_1"	"UCLA_1_2"	"UCLA_1_3"	"UCLA_1_4"	"UCLA_1_5"	"UCLA_1_6"	"UCLA_1_7"	"UCLA_1_8"	"UCLA_1_9"	"UCLA_1_10"	"T3_3"	"UCLA_2_1"	"UCLA_2_2"	"UCLA_2_3"	"UCLA_2_4"	"UCLA_2_5"	"UCLA_2_6"	"UCLA_2_7"	"UCLA_2_8"	"UCLA_2_9"	"UCLA_2_10"	"T4_3"	"SLWS_1"	"SLWS_2"	"SLWS_3"	"SLWS_4"	"SLWS_5"	"T5_3"	"SE_1_1"	"SE_1_2"	"SE_1_3"	"SE_1_4"	"SE_1_5"	"SE_1_6"	"SE_1_7"	"SE_1_8"	"SE_1_9"	"SE_1_10"	"SE_2_1"	"SE_2_2"	"SE_2_3"	"SE_2_4"	"SE_2_5"	"SE_2_6"	"SE_2_7"	"SE_2_8"	"SE_2_9"	"SE_2_10"	"T6_3"	"Mood_1"	"Mood_2"	"Mood_3"	"Mood_4"	"Mood_5"	"Mood_6"	"Mood_7"	"Mood_8"	"Mood_9"	"Mood_10"	"Mood_11"	"Mood_12"	"Mood_13"	"Mood_14"	"Mood_15"	"Mood_16"	"T7_3"	"Disc_1"	"Disc_2"	"Disc_3"	"Disc_4"	"T8_3"	"Disc_5"	"Disc_6"	"Disc_7"	"Disc_8"	"Disc_9"	"T9_3"	"DiscR_1"	"DiscR_2"	"DiscR_3"	"DiscR_4"	"T10_3"	"DiscR_5"	"DiscR_6"	"DiscR_7"	"DiscR_8"	"DiscR_9"	"T11_3"	"EIS_1"	"EIS_2"	"EIS_3"	"EIS_4"	"EIS_5"	"EIS_6"	"T12_3"	"Well_B_1"	"Well_B_2"	"Well_B_3"	"Well_B_4"	"Well_B_5"	"Well_B_6"	"Well_B_7"	"Well_B_8"	"Well_B_9"	"Well_B_10"	"T13_3"	"Rau_1"	"Rem_2"	"Rsa_6"	"Rau_7"	"Rem_8"	"Rsa_12"	"Rau_13"	"Rem_14"	"Rsa_18"	"Rau_19"	"Rem_20"	"Rsa_24"	"Rau_25"	"Rem_26"	"Rsa_30"	"Rau_31"	"Rem_32"	"Rsa_36"	"Rau_37"	"Rem_38"	"Rsa_42"	"T14_3"	"Sex"	"Age"	"Ethn_1"	"Ethn_2"	"Ethn_3"	"Ethn_4"	"Ethn_5"	"Ethn_6"	"Ethn_7"	"Ethn_7_TEXT"	"Cntry_Orig"	"Prim_Lang"	"Pol_Ori"	"T15_3"	"Interr"	"Distr"	"Privacy"	"Scrn_Size"	"T16_3"	"Debr"	"T17_3"	"end"	"T18_3"	"Subject"	"UCLA_1_1.rev"	"UCLA_1_5.rev"	"UCLA_1_6.rev"	"UCLA_1_9.rev"	"UCLA_1_10.rev"	"UCLA_2_5.rev"	"UCLA_2_6.rev"	"UCLA_2_9.rev"	"UCLA_2_10.rev"	"UCLA_total"	"SWLS_total"	"SE_total"	"SE_perf"	"SE_social"	"SE_appear"	"Mood_total"	"PD_general"	"PD_race"	"EI_total"	"WellB_total"	"WellB_PA"	"WellB_NA"	"WellR_total"	"WellR_auto"	"WellR_envir"	"WellR_accept"
"12/19/15"	"12/19/15"	2.577	2	2	3	2	2	2	2	3	2	2	67.691	2	2	2	3	2	3	3	3	2	3	72.014	3	5	5	5	5	33.637	4	3	4	3	3	4	2	3	4	2	4	4	3	4	2	2	4	2	2	4	44.603	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	83.889	3	4	3	3	35.681	3	2	4	3	3	30.622	3	3	3	3	21.176	3	2	4	3	3	19.16	4	4	4	4	4	4	35.515	1	2	1	2	1	1	1	2	2	2	35.782	4	4	3	3	4	4	5	4	3	4	4	4	4	3	3	5	4	4	4	4	4	38.016	1	29	NA	1	NA	NA	NA	NA	NA	" "	"us"	"ENGLISH"	4	22.317	1	1	1	1	16.396	1	19.506	NA	NA	77	3	3	3	3	3	3	2	3	2	2.6	4.6	3.55	3.71428571428571	3	4	1.875	28	27	5.33333333333333	1	3	2	4.80952380952381	4.42857142857143	5	5
"12/19/15"	"12/19/15"	8.325	2	3	3	3	3	3	3	4	4	4	16.439	2	3	3	4	4	3	3	4	4	4	18.142	4	4	4	4	4	16.413	2	3	4	4	4	4	4	5	5	5	2	3	4	4	4	4	3	4	4	4	14.705	2	3	3	3	4	4	4	4	4	4	3	4	4	4	4	4	24.317	4	4	4	5	18.265	3	4	4	4	4	19.196	4	4	4	4	16.08	4	5	4	4	5	18.79	5	5	6	6	6	6	27.143	1	2	2	2	2	2	2	2	2	1	15.646	4	4	4	4	5	4	5	5	5	5	4	5	5	4	4	4	5	5	4	5	5	17.833	2	32	NA	1	NA	NA	NA	NA	NA	" "	"USA"	"english"	7	158.838	1	1	1	1	298.769	1	24.293	NA	NA	80	3	2	2	1	1	1	2	1	1	2.45	4	2.5	2.71428571428571	2	2.83333333333333	3.625	36	38	5	0	1	1	4.80952380952381	4.71428571428571	4.85714285714286	4.85714285714286
"12/19/15"	"12/19/15"	6.973	2	3	3	3	2	2	3	2	1	2	43.497	3	3	3	3	2	2	3	3	3	2	34.969	5	4	5	5	2	18.131	4	2	1	2	2	3	5	3	4	2	4	2	2	4	2	2	4	1	2	2	26.05	1	1	3	1	1	1	1	1	2	1	1	1	1	2	1	1	26.984	4	4	3	3	21.187	1	1	5	3	1	27.402	1	1	1	1	24.904	1	1	1	1	1	10.868	5	5	5	3	8	5	28.402	1	1	1	1	1	2	2	2	2	2	22.267	5	3	3	5	2	5	3	2	5	2	5	4	5	2	1	2	2	2	5	3	2	25.73	2	32	NA	1	NA	NA	NA	NA	NA	" "	"USA"	"English"	8	28.238	1	1	1	1	23.024	1	33.005	NA	NA	81	3	3	3	4	3	3	3	2	3	2.95	4.2	3.45	4.14285714285714	3.57142857142857	2.5	1.25	25	9	5.16666666666667	5	5	0	5.52380952380952	6.14285714285714	5.28571428571429	5.14285714285714
"12/21/15"	"12/21/15"	68.97	2	1	2	2	2	3	4	2	1	3	64.849	2	4	3	2	2	3	3	1	2	2	51.143	2	3	1	1	6	33.134	4	2	3	2	1	4	1	4	5	2	4	3	3	5	1	2	4	1	2	4	275.313	3	2	4	2	2	3	2	3	3	1	1	1	1	1	1	1	39.171	3	3	3	2	95.407	3	4	3	1	1	184.972	2	2	2	2	34.137	1	3	3	1	1	42.913	1	3	9	3	2	3	465.286	1	1	1	2	1	2	1	1	2	2	52.818	6	3	5	2	2	5	4	2	5	1	5	5	4	2	2	1	4	2	3	2	4	52.711	1	23	NA	1	NA	NA	NA	NA	NA	" "	"United States of America"	"English"	3	109.256	2	1	1	1	83.118	1	202.294	NA	NA	86	3	3	2	4	2	3	2	3	3	2.55	2.6	3.85	4.57142857142857	3.14285714285714	3.83333333333333	1.9375	23	17	4.83333333333333	2	4	2	5.38095238095238	5.57142857142857	4.85714285714286	5.71428571428571
"12/19/15"	"12/19/15"	18.362	1	3	2	2	2	2	2	2	2	2	37.445	2	2	2	2	2	3	2	2	2	2	38.13	1	4	2	2	2	23.259	4	4	1	4	1	3	5	5	3	4	3	2	4	3	2	3	4	3	4	3	31.384	5	5	5	5	5	5	5	5	5	5	3	5	3	5	5	5	20.669	4	4	4	4	15.061	3	4	4	4	4	27.854	4	4	4	4	16.079	4	4	4	4	4	14.242	6	7	6	3	6	7	21.247	1	1	1	2	1	1	1	1	1	1	18.119	3	2	2	3	6	2	5	3	5	3	5	4	4	5	5	4	4	5	4	2	4	52.84	2	21	NA	1	NA	NA	NA	NA	NA	" "	"USA"	"English"	5	18.697	1	1	1	1	12.062	1	1.674	1	9.593	89	4	3	3	3	3	3	2	3	3	2.5	2.2	2.55	3.14285714285714	2.28571428571429	2.16666666666667	4.75	35	36	3.83333333333333	-1	4	5	4.38095238095238	4.57142857142857	4.71428571428571	3.85714285714286
"12/19/15"	"12/19/15"	4.146	3	4	4	2	2	3	4	3	3	4	5.337	3	2	4	3	3	4	3	3	3	4	11.633	5	6	4	6	5	6.915	3	2	2	5	5	3	5	3	5	3	2	3	4	4	3	4	5	5	3	4	6.728	5	3	3	4	4	4	5	4	4	3	4	4	4	5	3	4	18.337	5	4	4	5	5.521	4	6	5	4	5	9.957	5	4	4	5	9.509	4	5	2	4	5	12.867	5	6	4	6	7	6	9.725	1	2	1	1	2	1	1	2	2	1	10.806	4	3	5	4	6	5	3	4	4	6	5	5	4	5	5	5	4	6	5	3	5	18.18	2	39	NA	NA	NA	NA	NA	NA	1	"Caucasian"	"USA"	"English"	5	30.766	1	1	1	1	10.191	1	1.752	1	6.136	91	2	3	2	2	1	2	1	2	1	2.55	5.2	2.45	2.57142857142857	2.57142857142857	2.16666666666667	3.9375	42	38	5.33333333333333	0	3	3	4.85714285714286	4.71428571428571	4.85714285714286	5
"12/19/15"	"12/19/15"	4.226	2	3	3	3	1	2	3	3	2	2	54.17	2	3	3	3	3	2	2	3	2	2	28.261	6	6	6	6	6	7.85	4	3	2	2	2	3	4	5	4	2	4	3	4	4	2	3	4	2	2	3	16.521	2	2	3	1	2	2	1	2	1	2	1	2	1	2	1	1	19.715	4	3	2	3	14.101	2	2	2	2	2	8.785	1	1	1	1	7.854	1	1	1	1	1	6.915	7	5	6	2	2	6	34.627	1	1	1	1	1	2	2	2	2	2	13.741	5	4	5	5	2	5	2	2	2	2	5	5	5	2	2	2	1	4	5	6	4	13.061	2	33	NA	1	NA	NA	NA	NA	NA	" "	"USA"	"English"	4	14.444	1	1	1	1	7.478	1	1.784	1	6.451	94	3	4	3	3	3	2	3	3	3	2.9	6	3.2	4	2.71428571428571	2.83333333333333	1.625	22	9	3.33333333333333	5	5	0	6.04761904761905	6.28571428571429	6	5.85714285714286
"12/19/15"	"12/19/15"	9.754	2	3	3	3	1	2	4	1	1	2	37.406	3	3	3	3	1	2	3	4	1	1	34.612	4	5	5	5	3	22.138	4	4	2	2	2	4	5	4	4	3	3	2	3	4	2	3	4	1	4	3	22.789	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	31.649	4	4	3	3	18.681	3	3	3	3	3	17.224	1	1	1	1	8.116	1	1	1	1	2	11.112	6	7	7	2	4	7	31.285	1	1	1	1	1	1	1	1	1	1	19.467	4	2	4	4	4	5	4	4	5	3	2	5	4	5	4	2	4	2	5	4	4	23.127	2	34	NA	1	NA	NA	NA	NA	NA	" "	"US"	"English"	8	15.517	1	1	1	1	8.811	1	1.795	1	3.148	96	3	4	3	4	3	4	3	4	4	3.25	4.4	3.05	3.85714285714286	2.71428571428571	2.5	4	29	10	3.16666666666667	0	5	5	4.95238095238095	5.42857142857143	4.14285714285714	5.28571428571429
"12/19/15"	"12/19/15"	1.584	2	1	3	2	4	2	3	1	2	4	7.043	2	3	2	4	3	1	3	2	3	2	8.019	6	2	4	6	3	9.105	5	3	3	5	4	2	3	4	5	3	2	5	1	3	2	5	3	4	2	3	6.934	5	2	3	1	2	4	3	1	2	4	3	1	2	4	3	1	17.559	5	3	2	5	6.438	5	3	2	5	3	6.587	3	5	5	2	5.664	2	5	4	2	5	5.879	8	5	7	4	7	6	7.767	2	1	2	1	1	2	1	2	1	1	11.777	4	3	4	3	5	4	2	5	3	2	5	3	5	4	3	2	4	2	5	3	2	9.021	1	27	NA	1	NA	NA	NA	NA	NA	" "	"USA"	"English"	8	12.542	1	1	1	1	10.81	1	1.99	1	232.581	104	3	1	3	3	1	2	4	2	3	2.4	4.2	3.05	3.14285714285714	3.28571428571429	2.66666666666667	2.5625	33	33	4.16666666666667	0	3	3	5.19047619047619	5.85714285714286	4.71428571428571	5
"12/19/15"	"12/19/15"	1.169	2	3	2	3	2	2	2	3	2	2	14.63	3	3	3	4	4	3	2	3	3	2	11.127	5	5	5	5	2	9.738	4	4	3	3	2	3	3	2	4	4	4	3	3	3	2	2	3	2	2	2	17.489	3	2	3	2	2	2	1	2	3	2	1	2	1	3	2	1	23.434	3	3	2	2	7.728	1	2	3	3	2	7.669	2	2	2	1	7.778	1	1	2	2	2	7.973	3	3	3	6	6	6	9.986	1	1	1	2	1	2	2	1	2	2	18.403	5	4	4	4	4	5	2	2	2	1	6	5	6	3	2	1	3	2	3	5	4	10.71	1	32	NA	1	NA	NA	NA	NA	NA	" "	"US"	"english"	4	12.534	1	1	1	1	5.014	1	2.069	1	4.363	107	3	3	3	3	3	1	2	2	3	2.7	4.4	3.4	3.71428571428571	3.14285714285714	3.33333333333333	2	21	15	6.16666666666667	3	4	1	6.04761904761905	6.28571428571429	5.85714285714286	6
